#time,accel_x,accel_y,accel_z
2995.774697,-1944.091748,-1800.439648,-9782.707983
2995.774944,-699.106885,3864.241479,-7508.216406
2995.775190,239.420166,9629.479077,-4783.614917
2995.775436,1273.715283,14556.746094,-4687.846851
2995.775682,1206.677637,17266.982373,-6651.092212
2995.775928,2063.801831,17693.150269,-8628.702783
2995.776174,2475.604517,15385.139868,-9136.273535
2995.776420,2600.103003,13000.515015,-6780.379102
2995.776667,2863.465186,13354.856860,-5046.977100
2995.776913,3744.531396,17908.628418,-5329.492896
2995.777159,3533.841650,24636.335083,-7608.772876
2995.777405,3050.212915,30593.108813,-10237.606299
2995.777651,2217.030737,34481.292310,-10453.084448
2995.777897,2159.569897,36094.984229,-9361.328491
2995.778143,2078.167041,35544.317847,-7996.633545
2995.778390,2667.140649,31675.287964,-9011.775049
2995.778636,3203.441821,27025.748340,-10754.753857
2995.778882,2719.813086,22232.556616,-12430.695020
2995.779128,2063.801831,17544.709766,-12047.622754
2995.779374,1168.370410,13364.433667,-10620.678564
2995.779620,833.182178,9356.540088,-9825.803613
2995.779867,847.547388,6033.388184,-10702.081421
2995.780113,1043.871924,4678.270044,-13019.668628
2995.780359,804.451758,3701.435767,-13623.007446
2995.780605,-110.133276,3648.763330,-13057.975854
2995.780851,-359.130249,2542.642163,-11841.721411
2995.781097,402.225879,-1273.715283,-10783.484277
2995.781343,1589.749902,-5090.072729,-12392.387793
2995.781590,756.567725,-4515.464331,-14317.325928
2995.781836,-1106.121167,-4299.986182,-14686.032983
2995.782082,-1838.746875,-6229.712720,-13785.813159
2995.782328,-1254.561670,-10323.797559,-11702.857715
2995.782574,-272.938989,-15749.058521,-10491.391675
2995.782820,-14.365210,-19819.201343,-12344.503760
2995.783066,-1154.005200,-21294.029565,-13345.280054
2995.783313,-2327.164014,-22060.174097,-14135.366602
2995.783559,-1881.842505,-23032.219971,-12512.097876
2995.783805,-948.103857,-24229.320801,-9188.945972
2995.784051,-229.843359,-26906.038257,-9208.099585
2995.784297,368.707056,-28361.712866,-9753.977563
2995.784543,900.219824,-27102.362793,-10764.330664
2995.784789,837.970581,-25177.424658,-11200.075366
2995.785036,828.393774,-26053.702466,-8576.030347
2995.785282,4.788403,-28117.504297,-6981.492041
2995.785528,-1369.483350,-27858.930518,-6856.993555
2995.785774,-2097.320654,-23309.947363,-8456.320264
2995.786020,-3830.722656,-15337.255835,-10635.043774
2995.786266,-4616.020801,-8398.859424,-10414.777222
2995.786513,-4424.484668,-3792.415430,-8317.456567
2995.786759,-4036.623999,-2868.253589,-6670.245825
2995.787005,-4405.331055,-3648.763330,-6617.573389
2995.787251,-4673.481641,-4702.212061,-9117.119922
2995.787497,-3667.916943,-4146.757275,-10386.046802
2995.787743,-1929.726538,-368.707056,-9471.461768
